review_id,aspect,sentiment
1,배송,positive
1,품질,positive
1,가격,positive
2,품질,negative
2,포장,negative
3,가격,positive
3,디자인,positive
3,배송,positive
4,품질,negative
4,CS,negative
5,품질,positive
5,디자인,positive
5,배송,positive
6,가격,negative
6,품질,positive
7,포장,positive
7,품질,negative
8,디자인,positive
8,가격,positive
9,품질,positive
9,배송,positive
10,디자인,positive
10,품질,negative
10,CS,negative
11,가격,positive
11,포장,positive
12,품질,negative
12,가격,negative
13,배송,positive
13,품질,positive
14,품질,positive
14,가격,negative
15,가격,positive
15,품질,positive
16,포장,negative
17,디자인,positive
17,품질,positive
18,배송,negative
18,품질,negative
19,품질,positive
19,배송,positive
20,품질,negative
21,디자인,positive
21,가격,positive
22,품질,positive
22,포장,positive
23,품질,negative
24,가격,positive
24,품질,positive
25,품질,positive
25,배송,positive
26,품질,negative
27,디자인,positive
27,가격,positive
28,품질,positive
28,디자인,positive
29,품질,negative
29,CS,negative
30,품질,positive
30,가격,negative
31,품질,positive
32,포장,negative
33,디자인,positive
33,배송,positive
34,품질,positive
34,가격,positive
35,품질,negative
36,디자인,positive
36,배송,positive
37,품질,positive
37,디자인,positive
38,품질,negative
39,가격,positive
39,포장,positive
40,품질,positive
40,디자인,positive
41,품질,negative
41,가격,negative
42,배송,positive
42,포장,positive
43,품질,positive
44,품질,negative
44,CS,negative
45,디자인,positive
45,가격,negative
46,품질,positive
47,품질,positive
47,디자인,positive
48,품질,negative
49,품질,positive
49,배송,positive
50,가격,positive
50,품질,positive
51,품질,positive
52,품질,positive
52,가격,positive
53,품질,positive
53,포장,positive
54,디자인,positive
54,품질,negative
55,품질,positive
